Year,Savanna fires,Forest fires,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure left on Pasture,Fires in organic soils,Fires in humid tropical forests,TemperatureDeviation
1990,265533.1965,203871.7269,929823.91912981,752445.9744,55011.031459504215,317837.86455228255,543237.6491,273178.60082514037,219106.92202450367,230026.56200686228,1127062.9944761684,692307.8950956715,557482.1646060928,1922974.2497,682638.3951793615,264122.1697474645,146384.394,0.44
1991,265533.1965,203871.7269,930480.1423974689,752445.9744,54433.9368407837,326979.00093780423,562803.3241,279894.5190924531,227965.29356806347,244003.0192141244,1151531.9976345636,714757.8128024184,564503.7207995319,1959440.9581,698464.2380730668,264122.1697474645,146384.394,0.43
1992,265533.1965,203871.7267,939513.1732857153,752445.9743,57481.69990184454,329402.51398602186,605152.1640999999,259087.0554220744,306512.1527883117,240885.98006184938,1172247.554483941,651289.8025966388,516099.2860247611,2004423.3875,706086.4424200241,264122.1697474645,146384.394,0.23
1993,265533.1964,203871.7267,924193.3935576653,752878.5072,57749.542893167476,331280.76860850136,634222.0539,244135.5645829322,300704.6555053693,242966.19047788208,1193446.2417026658,681259.4955401442,511923.2149228163,2074678.3313,707511.7782057031,264122.1697474645,146384.394,0.24
1994,265533.1964,203871.7267,927782.2027630303,752547.1298999999,62186.03469583417,330295.75334448175,640391.0842,268669.1406129697,315222.3189033904,255454.1010153416,1212280.9814624258,673057.2147799934,528775.3297720387,2186139.967,718543.2761938977,264122.1697474645,146384.394,0.32
1995,265533.1964,203871.7267,933802.0637258294,758039.1725999999,63948.60144314361,332849.46950039204,681635.4491,257884.06429558783,326780.2482371639,291863.9562748014,1237993.015702011,765566.2623106698,555065.8698783963,2313792.9362999997,726982.2055095646,264122.1697474645,146384.394,0.46
1996,244594.5738,183710.054,941701.8571478591,757144.8,67085.5572681012,342974.32913247234,728055.7382,272053.14094290225,343121.4437271451,297397.4775459057,1257142.1397783328,733468.7622824033,563352.9436199822,2380431.7036,737597.7386095646,77276.38744746448,112873.8837,0.35
1997,235599.9088,257645.379,950298.125678934,758480.1308,67192.11136990513,354774.86549685587,729011.4762,291374.83571850887,338115.623943373,295978.6559720037,1260665.2192086908,734220.096737613,562818.8902160806,2499934.989,727733.2678095646,1001193.7789474645,188412.59900000002,0.48
1998,279330.1943,316956.1569,940894.5340916868,762035.0899,68492.09730387629,366297.8629649944,735470.3055,275508.39940221026,334528.3563395541,283074.4944389066,1298985.348572798,759474.1139609432,582759.782438883,2527478.4289,733147.2596095647,250266.10194746449,209365.84410000002,0.64
1999,285014.4256,249655.2145,969954.3104180252,767409.7841,69454.83235325775,375462.3610708581,752987.1619,302357.43268482835,330917.7620568485,266594.9239774536,1307910.3138790373,713830.8317397488,595722.9233852264,2670982.8778,742692.1062238856,113794.68484746446,153690.5263,0.42
2000,298790.7344,165653.4328,949645.6037693503,770422.9556,70296.73928859571,380629.66972267884,793468.5755,284700.0871070657,325828.5573730329,273190.84651020484,1331909.5296012533,732336.459563004,592943.2057926605,2770777.2759,750741.2443252319,39760.61484746447,95025.651,0.42
2001,303729.8995,120587.0646,934638.9000472969,770550.2887,72527.21638274967,385879.27572267887,822564.1326,311264.4465103568,334644.1381518117,286188.95832377323,1344972.0465753062,747801.9603005738,606434.0369780031,2849234.4653000003,754929.0159252319,40242.09084746447,88236.178,0.55
2002,325070.8902,153113.646,923770.6471974252,772294.2089,73748.22178619317,392730.2069888856,818115.6278,332268.11616691144,309225.166888998,285140.47919241496,1333825.019775306,769006.1580970361,640851.6092179599,3019883.4107,764024.2944925956,540044.7162474645,116924.2893,0.63
2003,265316.7984,209989.2373,915413.0432072236,774165.7142,76513.91284527672,406930.46892267885,871636.4441,355182.86170262675,325296.498092936,317808.1293868767,1351977.5988433466,767467.4432022462,671962.7610562083,3255129.3797999998,773905.0134925956,171935.73334746447,153751.08250000002,0.62
2004,295376.5441,219782.7603,938384.6822043968,776757.1758999999,83734.55607162972,424520.20233538514,915927.6075,380903.1902896838,339305.4453518575,362309.3313620752,1357501.7669994151,855288.1659504016,678672.6235172458,3574135.3916,786279.655767746,535308.7932474645,166928.0409,0.55
2005,271094.6469,210569.48,957640.9075805537,781520.8516,84841.84703986434,433161.9956368175,962275.7638,379822.09447781247,338477.40841623995,384941.60089696135,1368382.862282822,892756.3267537052,676417.3472912697,3855940.4803,797844.2303871118,252345.45904746448,165443.6934,0.69
2006,279056.6148,195963.53399999999,959161.0720571287,786828.0528000001,84701.09766762113,446880.34731515474,1013753.1974,407611.68505750934,357651.54696394113,394249.6008867962,1382480.5594794727,940049.5605623283,698963.1424615865,4188091.011,802614.1942006879,640757.6945474645,148402.0665,0.63
2007,298357.7639,226828.3212,949509.8982165518,792956.7153,80095.16661916584,452913.5016575632,1081224.517,443188.24881977716,362328.2101521457,425676.8565962389,1398815.3306506597,994002.6016832701,709517.5401515472,4420495.7505,810419.355700688,57854.341747464474,172900.4737,0.66
2008,257198.5878,195116.3002,971334.1846630251,796999.3857,81541.46032558028,460988.8167575632,1092812.1134,473866.825917432,367090.91837922484,436873.2751218726,1413660.7010506599,1036396.9827973149,700937.4590250322,4460035.1024,818677.0138680517,38752.79114746447,140513.8801,0.54
2009,234626.7664,189429.5938,967956.7138818428,800012.6222,76640.56902526652,461444.5556575632,1116766.6306999999,496571.94922704564,383040.03789825615,437150.3501057008,1421373.3630114817,1029822.12453144,727311.3184651638,4530758.4406,822817.3204680516,441815.1922474645,134429.26870000002,0.64
2010,255115.5901,246060.8614,980185.2052723627,805617.4063,83022.37668669297,479477.06964576215,1156238.8373,536109.2931043615,391156.0599016229,468046.40521299053,1430669.7395402505,1047464.1243908794,759233.9492898106,4868752.2242,823843.682315009,44258.62084746447,186932.3685,0.71
2011,339758.6779,185498.8341,983745.0517050242,810411.8356,86205.08264390842,494602.9405738965,1214641.7324,576974.5713388491,402395.11921168596,487610.50348874106,1447498.1512279264,1075755.805882304,778541.2470334277,5186372.7953,824400.2563837186,217935.86854746446,141274.5499,0.6
2012,331075.4392,201519.5593,976619.5084155697,814167.7073,87525.7858158373,504684.7725575632,1251465.8953,621404.5621560455,416326.15777569654,480404.24441424734,1456372.4986337177,1079254.2309335303,778247.1128131271,5395431.8993,833500.1139454445,226452.48214746447,145261.4681,0.63
2013,223645.4821,176827.03269999998,986583.6023760152,815422.342,84980.32218301084,535001.2069905311,1314021.1851,662897.0977570564,422660.5214281428,480391.71320116334,1459606.0787337178,1075093.4267324824,826701.0613583825,5717788.8009,838897.4504454444,200889.62724746446,129328.7158,0.65
2014,243059.7787,181256.4769,979860.1040404978,818448.3692,85697.5861064316,547044.0905200243,1331377.0894,686998.4768128728,424451.78195857117,501616.99439040944,1449286.3664337178,1014025.1608811531,867946.2539487125,5982094.1872000005,843805.939992498,552427.0867474645,132858.4978,0.74
2015,244079.8431,203788.2815,979363.1645889904,818321.1714,84235.33981421092,552178.2356839279,1360577.2599,709780.7144954909,422612.57066264475,494033.52607162617,1448994.3134529502,991727.2508603751,851593.5547564466,5873466.3287,854369.8712924981,584496.8774474645,156792.5752,0.87
2016,219738.3785,205610.22580000001,981832.4470129029,821079.8985,84499.57710336748,557718.8716362576,1437763.6613,734904.4417428405,434443.96974194533,478814.7988183809,1454970.6166905756,998736.1974992111,846247.78940726,5998998.8766,865968.0497924981,72953.92434746448,153936.3558,0.99
